model,RMSE,MAE,sign_hit,bias
Ridge(1.0),623.9133509412861,244.78875637124227,0.9191176470588235,11.572514269983866
Ridge(10),1039.4219224022518,254.5710521752427,0.9411764705882353,74.79331058193627
OLS,656.9244155178974,258.6654761551904,0.875,120.23737958216776
"XGB(300,d4)",1845.1862868734927,334.8209232442519,0.9485294117647058,92.79673805657555
"RF(300,d6)",1839.9840095333393,339.24771166576016,0.9338235294117647,85.75969633778902
Naive: 3m avg,1844.1791253134363,340.49264705882354,0.9191176470588235,89.14460784313724
"GBM(200,d3)",1842.7678031242435,341.9932918209609,0.9411764705882353,88.51527335405939
ElasticNetCV,1844.0151880571316,344.2702941414162,0.9338235294117647,82.12205128573642
Naive: 12m avg,1844.0724997665966,347.1752450980392,0.9338235294117647,94.46200980392159
Naive: last value,1849.3583903295632,366.0147058823529,0.9044117647058824,92.0
