model,RMSE,MAE,sign_hit,bias
Naive: 3m avg,119.00342354241248,91.69444444444444,0.8333333333333334,9.944444444444443
Ridge(1.0),121.06181408632298,92.87220665009097,0.875,32.66752511573299
"RF(300,d6)",126.44840576401181,93.84345657582064,0.875,25.896589292939467
"XGB(300,d4)",129.31668247041878,93.91767613093059,0.9166666666666666,17.813386102517445
Ridge(10),122.67958712018915,95.48944979400851,0.875,23.076094130024856
ElasticNetCV,121.3930672753733,95.75713983298778,0.875,27.526184439188
OLS,128.45861173119397,101.25632352327403,0.875,45.49063503256364
"GBM(200,d3)",141.32332330997227,103.9918169880239,0.8958333333333334,21.328307544479934
Naive: 12m avg,127.9173769433773,104.91666666666669,0.875,59.35416666666668
Naive: last value,154.73027607205168,116.91666666666667,0.7916666666666666,5.083333333333333
