model,n,MAE,RMSE,bias,sign_hit
b_ar,128,100.30234323856803,141.83762163539836,-18.258130044094013,0.9375
b_adp_ar,128,103.41045377936513,153.11888469843106,-17.54681641056394,0.953125
b_ar_ext,128,106.60668227240721,152.6518397323526,-6.28351001620662,0.9453125
b_5var,128,107.81173281784564,151.43491831254164,-1.3535713518337391,0.9453125
b_adp_claims_emp,128,108.44029057997415,157.26539503672032,-9.567044816570125,0.9296875
b_refwk_adp,128,111.68917800451983,165.0371881317772,-11.361898968436623,0.9453125
b_adp_claims,128,111.8659799265329,165.32717078530783,-12.158919495050508,0.9453125
b_adp_only,128,112.66063794612208,167.344202336249,-22.161220655679585,0.953125
b_kitchen,128,114.45138679345075,155.49715062350415,-19.829161334669482,0.9453125
b_refwk_only,128,177.04137654439393,253.952652600675,31.514240801350734,0.921875
