date,payems_yoy_lag1,usspriv_chg_lag1,manemp_chg_lag1,uscons_chg_lag1,ustrade_chg_lag1,usgovt_chg_lag1,unrate_lag1,unrate_chg_lag1,u6rate_lag1,civpart_lag1,ahetpi_yoy_lag1,awhaetp_lag1,adp_level_k,adp_chg_k,empire_emp,philly_emp,umcsent,jolts_openings,jolts_hires,jolts_seps,jolts_quits,jolts_layoffs,jolts_openings_fp,jolts_fp_surprise,indpro_lag1,indpro_yoy_lag1,rsxfs_lag1,rsxfs_yoy_lag1,houst_lag1,houst_yoy_lag1,permit_lag1,permit_yoy_lag1,icsa_monthly_mean,ccsa_monthly_mean,ic4w_monthly_mean,icsa_chg,ccsa_chg,icsa_ref_week,ccsa_ref_week,ism_mfg_emp,ism_serv_emp,ism_mfg_emp_chg,ism_serv_emp_chg,ism_composite_emp,yc_2s10s_m,y10_m,ffr_m,oil_m,vix_m,beie10_m,nfp_chg_lag1,nfp_chg_lag2,nfp_chg_lag3,nfp_chg_3m_avg,nfp_chg_6m_avg,nfp_chg_12m_avg,target_nfp_chg_k
1948-01-01,2.7709260241130407,77.0,14.0,29.0,3.100000000000364,20.0,,,,,,,,,,,,,,,,,,,14.2716,5.577913239036514,,,,,,,,,,,,,,,,,,,,,,,,,97.0,73.0,208.0,126.0,128.5,100.16666666666667,98.0
1948-02-01,2.627770759159298,79.0,10.0,49.0,8.699999999999818,19.0,3.4,,,58.6,,,,,,,,,,,,,,,14.3524,4.921340429264864,,,,,,,,,,,,,,,,,,,,,,,,,98.0,97.0,73.0,89.33333333333333,156.0,95.33333333333333,-146.0
1948-03-01,2.240742016208652,-137.0,-99.0,-74.0,-1.1000000000003638,-9.0,3.8,0.3999999999999999,,58.9,,,,,,,,,,,,,,,14.3793,4.5007267441860455,,,,,,,,,,,,,,,,,,,,,,,,,-146.0,98.0,97.0,16.333333333333332,95.5,81.33333333333333,150.0
1948-04-01,2.46749375100328,142.0,25.0,58.0,14.0,8.0,4.0,0.20000000000000018,,58.5,,,,,,,,,,,,,,,14.2177,2.7238506722925937,,,,,,,,,,,,,,,,,,,,,,,,,150.0,-146.0,98.0,34.0,80.0,89.66666666666667,-304.0
1948-05-01,2.0230350122991236,-324.0,-181.0,39.0,-33.599999999999454,20.0,3.9,-0.10000000000000009,,59.0,,,,,,,,,,,,,,,14.2447,3.726061312167772,,,,,,,,,,,,,,,,,,,,,,,,,-304.0,150.0,-146.0,-100.0,-5.333333333333333,73.33333333333333,417.0
1948-06-01,2.653650488106707,379.0,52.0,43.0,42.19999999999982,38.0,3.5,-0.3999999999999999,,58.3,,,,,,,,,,,,,,,14.487,5.078008834473313,,,,,,,,,,,,,,,,,,,,,,,,,417.0,-304.0,150.0,87.66666666666667,52.0,96.5,238.0
1948-07-01,2.7938826751883195,183.0,83.0,35.0,18.0,55.0,3.6,0.10000000000000009,,59.2,,,,,,,,,,,,,,,14.6755,6.445248750625598,,,,,,,,,,,,,,,,,,,,,,,,,238.0,417.0,-304.0,117.0,75.5,102.0,126.0
1948-08-01,3.2393754429280053,88.0,41.0,4.0,13.899999999999636,38.0,3.6,0.0,,59.3,,,,,,,,,,,,,,,14.6755,7.072763222214928,,,,,,,,,,,,,,,,,,,,,,,,,126.0,238.0,417.0,260.3333333333333,80.16666666666667,118.08333333333333,18.0
1948-09-01,2.770700636942669,1.0,-6.0,-15.0,1.300000000000182,17.0,3.9,0.2999999999999998,,58.9,,,,,,,,,,,,,,,14.6216,6.0542979204897485,,,,,,,,,,,,,,,,,,,,,,,,,18.0,126.0,238.0,127.33333333333333,107.5,101.5,116.0
1948-10-01,2.468158269800691,102.0,88.0,-5.0,-0.5,14.0,3.8,-0.10000000000000009,,58.9,,,,,,,,,,,,,,,14.5139,4.457127229283309,,,,,,,,,,,,,,,,,,,,,,,,,116.0,18.0,126.0,86.66666666666667,101.83333333333333,90.91666666666667,-49.0
