sector,pred_k,rmse_k,avg_share_pct
MANEMP,28.11331733836937,10.338346594488838,7.8
USCONS,2.4137264014991686,14.45321678517708,5.2
USTPU,12.160830409195228,26.876683548196617,18.099999999999998
USINFO,-8.095773490574047,6.2882984658532415,1.7000000000000002
USFIRE,-1.4091995182086379,10.211837973739872,5.7
USPBS,13.04874426061616,17.929510064139453,14.2
USEHS,61.90113808525578,28.801932748869017,17.599999999999998
USLAH,-4.318849993528914,22.722754496518768,10.7
USMINE,1.0343234566904094,3.06894482079207,0.4
USSERV,4.287734639657202,7.507295738773607,3.8
USGOVT,6.258960445117365,43.60622018562022,14.7
