date,mfg_employment_index,services_employment_index
2024-01-01,47.1,43.3
2024-02-01,45.9,48.0
2024-03-01,47.4,48.5
2024-04-01,48.6,45.9
2024-05-01,51.1,47.1
2024-06-01,49.3,46.1
2024-07-01,43.4,51.1
2024-08-01,46.0,50.2
2024-09-01,43.9,48.1
2024-10-01,44.4,53.0
2024-11-01,48.1,51.5
2024-12-01,45.3,51.4
2025-01-01,50.3,52.3
2025-02-01,47.6,53.9
2025-03-01,44.7,46.2
2025-04-01,46.5,49.0
2025-05-01,46.8,50.7
2025-06-01,45.0,47.2
2025-07-01,43.4,46.4
2025-08-01,43.8,46.5
2025-09-01,45.3,47.2
2025-10-01,46.0,48.2
2025-11-01,44.0,48.9
2025-12-01,44.9,52.0
2026-01-01,48.1,53.9
2026-02-01,48.8,53.8
2026-03-01,48.7,45.2
2026-04-01,46.4,48.0
2026-05-01,48.6,47.9
2026-06-01,49.7,51.2
2026-07-01,52.8,47.4
