date,value
2002-04-01,109068.903
2002-05-01,108963.386
2002-06-01,108918.789
2002-07-01,108827.623
2002-08-01,108704.798
2002-09-01,108638.352
2002-10-01,108595.671
2002-11-01,108583.109
2002-12-01,108473.857
2003-01-01,108504.858
2003-02-01,108549.587
2003-03-01,108622.0
2003-04-01,108702.803
2003-05-01,108601.557
2003-06-01,108515.09
2003-07-01,108524.984
2003-08-01,108573.336
2003-09-01,108738.407
2003-10-01,108986.429
2003-11-01,109011.095
2003-12-01,108955.69
2004-01-01,109031.171
2004-02-01,109195.382
2004-03-01,109554.0
2004-04-01,109744.32
2004-05-01,109991.535
2004-06-01,110051.538
2004-07-01,110113.528
2004-08-01,110142.076
2004-09-01,110269.416
2004-10-01,110691.939
2004-11-01,110956.226
2004-12-01,111006.563
2005-01-01,111095.215
2005-02-01,111230.379
2005-03-01,111416.0
2005-04-01,111650.771
2005-05-01,111869.771
2005-06-01,112051.324
2005-07-01,112262.312
2005-08-01,112497.681
2005-09-01,112621.064
2005-10-01,112610.409
2005-11-01,112885.222
2005-12-01,113252.4
2006-01-01,113642.233
2006-02-01,113996.197
2006-03-01,114144.0
2006-04-01,114299.058
2006-05-01,114392.717
2006-06-01,114681.497
2006-07-01,114912.32
2006-08-01,115130.348
2006-09-01,115182.505
2006-10-01,115272.471
2006-11-01,115515.758
2006-12-01,115533.716
2007-01-01,115576.262
2007-02-01,115577.273
2007-03-01,115644.0
2007-04-01,115724.357
2007-05-01,115793.491
2007-06-01,115793.218
2007-07-01,115783.496
2007-08-01,115821.567
2007-09-01,115829.749
2007-10-01,115709.117
2007-11-01,115676.684
2007-12-01,115759.878
2008-01-01,115866.937
2008-02-01,115849.143
2008-03-01,115832.0
2008-04-01,115489.041
2008-05-01,115199.065
2008-06-01,114849.685
2008-07-01,114583.001
2008-08-01,114189.569
2008-09-01,113780.27
2008-10-01,113298.261
2008-11-01,112942.746
2008-12-01,112281.89
2009-01-01,111558.852
2009-02-01,110680.493
2009-03-01,109952.0
2009-04-01,109474.96
2009-05-01,109248.765
2009-06-01,109003.048
2009-07-01,108811.488
2009-08-01,108699.19
2009-09-01,108515.339
2009-10-01,108275.513
2009-11-01,108034.135
2009-12-01,107759.783
2010-01-01,107624.361
2010-02-01,107474.082
2010-03-01,107361.0
2010-04-01,107468.223
2010-05-01,107636.516
2010-06-01,107784.718
2010-07-01,107943.125
2010-08-01,108046.987
2010-09-01,108148.572
2010-10-01,108221.761
2010-11-01,108376.088
2010-12-01,108476.85
2011-01-01,108533.192
2011-02-01,108711.795
2011-03-01,109096.0
2011-04-01,109273.082
2011-05-01,109305.624
2011-06-01,109511.428
2011-07-01,109846.535
2011-08-01,110065.388
2011-09-01,110260.456
2011-10-01,110456.058
2011-11-01,110685.619
2011-12-01,111005.224
2012-01-01,111302.226
2012-02-01,111650.805
2012-03-01,111809.0
2012-04-01,111840.664
2012-05-01,112106.501
2012-06-01,112233.009
2012-07-01,112494.635
2012-08-01,112763.028
2012-09-01,112898.753
2012-10-01,113070.89
2012-11-01,113245.503
2012-12-01,113491.126
2013-01-01,113555.34
2013-02-01,113645.074
2013-03-01,113810.0
2013-04-01,113675.559
2013-05-01,113783.719
2013-06-01,113984.225
2013-07-01,114228.169
2013-08-01,114379.57
2013-09-01,114560.028
2013-10-01,114661.142
2013-11-01,114835.885
2013-12-01,115036.388
2014-01-01,115314.78
2014-02-01,115692.358
2014-03-01,116135.0
2014-04-01,116490.316
2014-05-01,116657.185
2014-06-01,116841.408
2014-07-01,116940.066
2014-08-01,117149.873
2014-09-01,117449.196
2014-10-01,117629.312
2014-11-01,117841.913
2014-12-01,118176.167
2015-01-01,118449.523
2015-02-01,118683.004
2015-03-01,118940.0
2015-04-01,119229.244
2015-05-01,119476.34
2015-06-01,119614.561
2015-07-01,119719.35
2015-08-01,119822.374
2015-09-01,120003.098
2015-10-01,120159.438
2015-11-01,120302.977
2015-12-01,120625.97
2016-01-01,120872.646
2016-02-01,121149.957
2016-03-01,121476.0
2016-04-01,121588.759
2016-05-01,121652.564
2016-06-01,122013.596
2016-07-01,122132.675
2016-08-01,122242.841
2016-09-01,122544.108
2016-10-01,122667.22
2016-11-01,123028.698
2016-12-01,123183.525
2017-01-01,123283.566
2017-02-01,123465.895
2017-03-01,123631.0
2017-04-01,123757.791
2017-05-01,123943.016
2017-06-01,124068.767
2017-07-01,124139.839
2017-08-01,124093.501
2017-09-01,124011.165
2017-10-01,124573.78
2017-11-01,124921.59
2017-12-01,125171.568
2018-01-01,125347.911
2018-02-01,125657.068
2018-03-01,125868.0
2018-04-01,126135.766
2018-05-01,126338.91
2018-06-01,126467.785
2018-07-01,126624.028
2018-08-01,126807.465
2018-09-01,126921.341
2018-10-01,127183.325
2018-11-01,127294.694
2018-12-01,127468.285
2019-01-01,127520.246
2019-02-01,127475.684
2019-03-01,127787.0
2019-04-01,127972.756
2019-05-01,127800.833
2019-06-01,127880.007
2019-07-01,127931.921
2019-08-01,127942.876
2019-09-01,128065.814
2019-10-01,128005.943
2019-11-01,128071.06
2019-12-01,128089.884
2020-01-01,128181.126
2020-02-01,128253.047
2020-03-01,128181.0
2020-04-01,109047.685
2020-05-01,112552.167
2020-06-01,117199.747
2020-07-01,117705.777
2020-08-01,118534.894
2020-09-01,119067.766
2020-10-01,119804.457
2020-11-01,120433.895
2020-12-01,120683.306
2021-01-01,121220.09
2021-02-01,121678.171
2021-03-01,122572.0
2021-04-01,123190.574
2021-05-01,124001.262
2021-06-01,124695.564
2021-07-01,125010.776
2021-08-01,125287.381
2021-09-01,125767.254
2021-10-01,126297.734
2021-11-01,126784.05
2021-12-01,127564.454
2022-01-01,128076.127
2022-02-01,128676.7
2022-03-01,128925.851
2022-04-01,129127.873
2022-05-01,129256.098
