release_date,ref_month,prior_month,first_print_level,prior_level_same_vintage,reported_change_k
2010-01-01,2009-11-01,2009-10-01,130996.0,131007.0,-11.0
2010-02-05,2010-01-01,2009-12-01,129527.0,129547.0,-20.0
2010-03-05,2010-02-01,2010-01-01,129526.0,129562.0,-36.0
2010-04-02,2010-03-01,2010-02-01,129750.0,129588.0,162.0
2010-05-07,2010-04-01,2010-03-01,130161.0,129871.0,290.0
2010-06-04,2010-05-01,2010-04-01,130570.0,130139.0,431.0
2010-07-02,2010-06-01,2010-05-01,130470.0,130595.0,-125.0
2010-08-06,2010-07-01,2010-06-01,130242.0,130373.0,-131.0
2010-09-03,2010-08-01,2010-07-01,130311.0,130365.0,-54.0
2010-11-05,2010-10-01,2010-09-01,130462.0,130311.0,151.0
2010-12-03,2010-11-01,2010-10-01,130539.0,130500.0,39.0
2011-01-07,2010-12-01,2010-11-01,130712.0,130609.0,103.0
2011-02-04,2011-01-01,2010-12-01,130265.0,130229.0,36.0
2011-03-04,2011-02-01,2011-01-01,130515.0,130323.0,192.0
2011-04-01,2011-03-01,2011-02-01,130738.0,130522.0,216.0
2011-05-06,2011-04-01,2011-03-01,131028.0,130784.0,244.0
2011-06-03,2011-05-01,2011-04-01,131043.0,130989.0,54.0
2011-08-05,2011-07-01,2011-06-01,131190.0,131073.0,117.0
2011-09-02,2011-08-01,2011-07-01,131132.0,131132.0,0.0
2011-10-07,2011-09-01,2011-08-01,131334.0,131231.0,103.0
2011-11-04,2011-10-01,2011-09-01,131516.0,131436.0,80.0
2011-12-02,2011-11-01,2011-10-01,131708.0,131588.0,120.0
2012-01-06,2011-12-01,2011-11-01,131900.0,131700.0,200.0
2012-02-03,2012-01-01,2011-12-01,132409.0,132166.0,243.0
2012-04-06,2012-03-01,2012-02-01,132821.0,132701.0,120.0
2012-05-04,2012-04-01,2012-03-01,132989.0,132874.0,115.0
2012-06-01,2012-05-01,2012-04-01,133009.0,132940.0,69.0
2012-07-06,2012-06-01,2012-05-01,133088.0,133008.0,80.0
2012-08-03,2012-07-01,2012-06-01,133245.0,133082.0,163.0
2012-09-07,2012-08-01,2012-07-01,133300.0,133204.0,96.0
2012-10-05,2012-09-01,2012-08-01,133500.0,133386.0,114.0
2012-11-02,2012-10-01,2012-09-01,133755.0,133584.0,171.0
2012-12-07,2012-11-01,2012-10-01,133852.0,133706.0,146.0
2013-01-04,2012-12-01,2012-11-01,134021.0,133866.0,155.0
2013-02-01,2013-01-01,2012-12-01,134825.0,134668.0,157.0
2013-04-05,2013-03-01,2013-02-01,135195.0,135107.0,88.0
2013-05-03,2013-04-01,2013-03-01,135474.0,135309.0,165.0
2013-06-07,2013-05-01,2013-04-01,135637.0,135462.0,175.0
2013-07-05,2013-06-01,2013-05-01,135902.0,135707.0,195.0
2013-08-02,2013-07-01,2013-06-01,136038.0,135876.0,162.0
2013-09-06,2013-08-01,2013-07-01,136133.0,135964.0,169.0
2013-11-01,2013-09-01,2013-08-01,136290.0,136142.0,148.0
2013-12-06,2013-11-01,2013-10-01,136765.0,136562.0,203.0
2014-02-07,2014-01-01,2013-12-01,137499.0,137386.0,113.0
2014-03-07,2014-02-01,2014-01-01,137699.0,137524.0,175.0
2014-04-04,2014-03-01,2014-02-01,137928.0,137736.0,192.0
2014-05-02,2014-04-01,2014-03-01,138252.0,137964.0,288.0
2014-06-06,2014-05-01,2014-04-01,138463.0,138246.0,217.0
2014-07-04,2014-06-01,2014-05-01,138780.0,138492.0,288.0
2014-08-01,2014-07-01,2014-06-01,139004.0,138795.0,209.0
2014-09-05,2014-08-01,2014-07-01,139118.0,138976.0,142.0
2014-10-03,2014-09-01,2014-08-01,139435.0,139187.0,248.0
2014-11-07,2014-10-01,2014-09-01,139680.0,139466.0,214.0
2014-12-05,2014-11-01,2014-10-01,140045.0,139724.0,321.0
2015-02-06,2015-01-01,2014-12-01,140849.0,140592.0,257.0
2015-03-06,2015-02-01,2015-01-01,141126.0,140831.0,295.0
2015-04-03,2015-03-01,2015-02-01,141183.0,141057.0,126.0
2015-06-05,2015-05-01,2015-04-01,141679.0,141399.0,280.0
2015-07-03,2015-06-01,2015-05-01,141842.0,141619.0,223.0
2015-08-07,2015-07-01,2015-06-01,142071.0,141856.0,215.0
2015-09-04,2015-08-01,2015-07-01,142288.0,142115.0,173.0
2015-10-02,2015-09-01,2015-08-01,142371.0,142229.0,142.0
2015-11-06,2015-10-01,2015-09-01,142654.0,142383.0,271.0
2015-12-04,2015-11-01,2015-10-01,142900.0,142689.0,211.0
2016-02-05,2016-01-01,2015-12-01,143288.0,143137.0,151.0
2016-03-04,2016-02-01,2016-01-01,143560.0,143318.0,242.0
2016-04-01,2016-03-01,2016-02-01,143774.0,143559.0,215.0
2016-05-06,2016-04-01,2016-03-01,143915.0,143755.0,160.0
2016-06-03,2016-05-01,2016-04-01,143894.0,143856.0,38.0
2016-08-05,2016-07-01,2016-06-01,144448.0,144193.0,255.0
2016-09-02,2016-08-01,2016-07-01,144598.0,144447.0,151.0
2016-10-07,2016-09-01,2016-08-01,144747.0,144591.0,156.0
2016-11-04,2016-10-01,2016-09-01,144952.0,144791.0,161.0
2016-12-02,2016-11-01,2016-10-01,145128.0,144950.0,178.0
2017-01-06,2016-12-01,2016-11-01,145303.0,145147.0,156.0
2017-02-03,2017-01-01,2016-12-01,145554.0,145327.0,227.0
2017-04-07,2017-03-01,2017-02-01,145858.0,145760.0,98.0
2017-05-05,2017-04-01,2017-03-01,146063.0,145852.0,211.0
2017-06-02,2017-05-01,2017-04-01,146135.0,145997.0,138.0
2017-07-07,2017-06-01,2017-05-01,146404.0,146182.0,222.0
2017-08-04,2017-07-01,2017-06-01,146615.0,146406.0,209.0
2017-09-01,2017-08-01,2017-07-01,146730.0,146574.0,156.0
2017-10-06,2017-09-01,2017-08-01,146659.0,146692.0,-33.0
2017-11-03,2017-10-01,2017-09-01,147010.0,146749.0,261.0
2018-01-05,2017-12-01,2017-11-01,147380.0,147232.0,148.0
2018-02-02,2018-01-01,2017-12-01,147810.0,147610.0,200.0
2018-04-06,2018-03-01,2018-02-01,148230.0,148127.0,103.0
2018-05-04,2018-04-01,2018-03-01,148424.0,148260.0,164.0
2018-06-01,2018-05-01,2018-04-01,148662.0,148439.0,223.0
2018-07-06,2018-06-01,2018-05-01,148912.0,148699.0,213.0
2018-08-03,2018-07-01,2018-06-01,149128.0,148971.0,157.0
2018-09-07,2018-08-01,2018-07-01,149279.0,149078.0,201.0
2018-10-05,2018-09-01,2018-08-01,149500.0,149366.0,134.0
2018-11-02,2018-10-01,2018-09-01,149750.0,149500.0,250.0
2018-12-07,2018-11-01,2018-10-01,149893.0,149738.0,155.0
2019-01-04,2018-12-01,2018-11-01,150263.0,149951.0,312.0
2019-02-01,2019-01-01,2018-12-01,150574.0,150270.0,304.0
2019-04-05,2019-03-01,2019-02-01,150816.0,150620.0,196.0
2019-05-03,2019-04-01,2019-03-01,151095.0,150832.0,263.0
2019-06-07,2019-05-01,2019-04-01,151095.0,151020.0,75.0
2019-07-05,2019-06-01,2019-05-01,151308.0,151084.0,224.0
2019-08-02,2019-07-01,2019-06-01,151431.0,151267.0,164.0
2019-09-06,2019-08-01,2019-07-01,151541.0,151411.0,130.0
2019-10-04,2019-09-01,2019-08-01,151722.0,151586.0,136.0
2019-11-01,2019-10-01,2019-09-01,151945.0,151817.0,128.0
2019-12-06,2019-11-01,2019-10-01,152252.0,151986.0,266.0
2020-02-07,2020-01-01,2019-12-01,152186.0,151961.0,225.0
2020-03-06,2020-02-01,2020-01-01,152544.0,152271.0,273.0
2020-04-03,2020-03-01,2020-02-01,151786.0,152487.0,-701.0
2020-06-05,2020-05-01,2020-04-01,132912.0,130403.0,2509.0
2020-07-03,2020-06-01,2020-05-01,137802.0,133002.0,4800.0
2020-08-07,2020-07-01,2020-06-01,139582.0,137819.0,1763.0
2020-09-04,2020-08-01,2020-07-01,140914.0,139543.0,1371.0
2020-10-02,2020-09-01,2020-08-01,141720.0,141059.0,661.0
2020-11-06,2020-10-01,2020-09-01,142373.0,141735.0,638.0
2020-12-04,2020-11-01,2020-10-01,142629.0,142384.0,245.0
2021-02-05,2021-01-01,2020-12-01,142631.0,142582.0,49.0
2021-03-05,2021-02-01,2021-01-01,143048.0,142669.0,379.0
2021-04-02,2021-03-01,2021-02-01,144120.0,143204.0,916.0
2021-05-07,2021-04-01,2021-03-01,144308.0,144042.0,266.0
2021-06-04,2021-05-01,2021-04-01,144894.0,144335.0,559.0
2021-07-02,2021-06-01,2021-05-01,145759.0,144909.0,850.0
