date,JTSJOL_fp
2010-07-01,3042.0
2010-08-01,3201.0
2010-09-01,2929.0
2010-10-01,3362.0
2010-12-01,3063.0
2011-01-01,2760.0
2011-03-01,3124.0
2011-04-01,2972.0
2011-06-01,3109.0
2011-07-01,3228.0
2011-09-01,3354.0
2011-11-01,3161.0
2011-12-01,3376.0
2012-02-01,3498.0
2012-03-01,3737.0
2012-05-01,3642.0
2012-06-01,3762.0
2012-08-01,3561.0
2012-09-01,3561.0
2012-10-01,3675.0
2012-11-01,3676.0
2013-01-01,3693.0
2013-02-01,3925.0
2013-03-01,3844.0
2013-05-01,3828.0
2013-06-01,3936.0
2013-07-01,3689.0
2013-10-01,3925.0
2014-01-01,3974.0
2014-02-01,4173.0
2014-03-01,4014.0
2014-04-01,4455.0
2014-05-01,4635.0
2014-07-01,4673.0
2014-08-01,4835.0
2014-10-01,4834.0
2014-12-01,5028.0
2015-01-01,4998.0
2015-02-01,5133.0
2015-04-01,5376.0
2015-05-01,5363.0
2015-07-01,5753.0
2015-10-01,5383.0
2015-12-01,5607.0
2016-02-01,5445.0
2016-03-01,5757.0
2016-04-01,5788.0
2016-06-01,5624.0
2016-07-01,5871.0
2016-09-01,5486.0
2016-10-01,5534.0
2016-11-01,5522.0
2016-12-01,5501.0
2017-03-01,5743.0
2017-04-01,6044.0
2017-05-01,5666.0
2017-06-01,6163.0
2017-08-01,6082.0
2017-09-01,6093.0
2017-10-01,5996.0
2017-11-01,5879.0
2017-12-01,5811.0
2018-03-01,6550.0
2018-04-01,6698.0
2018-05-01,6638.0
2018-06-01,6662.0
2018-09-01,7009.0
2018-10-01,7079.0
2018-11-01,6888.0
2019-02-01,7087.0
2019-03-01,7488.0
2019-04-01,7449.0
2019-05-01,7323.0
2019-06-01,7348.0
2019-07-01,7217.0
2019-08-01,7051.0
2019-09-01,7024.0
2020-02-01,6882.0
2020-04-01,5046.0
2020-05-01,5397.0
2020-06-01,5889.0
2020-07-01,6618.0
2020-08-01,6493.0
2020-09-01,6436.0
2020-10-01,6652.0
2020-12-01,6646.0
2021-01-01,6917.0
2021-02-01,7367.0
2021-03-01,8123.0
2021-04-01,9286.0
2021-05-01,9209.0
2021-06-01,10073.0
2021-07-01,10934.0
2021-10-01,11033.0
2021-11-01,10562.0
2021-12-01,10925.0
2022-01-01,11263.0
2022-02-01,11266.0
2022-03-01,11549.0
2022-04-01,11400.0
2022-05-01,11254.0
2022-06-01,10698.0
2022-07-01,11239.0
2022-08-01,10053.0
2022-09-01,10717.0
2022-10-01,10334.0
2022-11-01,10458.0
2022-12-01,11012.0
2023-01-01,10824.0
2023-02-01,9931.0
2023-03-01,9590.0
2023-04-01,10103.0
2023-05-01,9824.0
2023-06-01,9582.0
2023-07-01,8827.0
2023-08-01,9610.0
2023-09-01,9553.0
2023-10-01,8733.0
2023-11-01,8790.0
2023-12-01,9026.0
2024-01-01,8863.0
2024-02-01,8756.0
2024-03-01,8488.0
2024-04-01,8059.0
2024-05-01,8140.0
2024-06-01,8184.0
2024-07-01,7673.0
2024-08-01,8040.0
2024-09-01,7443.0
2024-10-01,7744.0
2024-11-01,8098.0
2024-12-01,7600.0
2025-01-01,7740.0
2025-02-01,7568.0
2025-03-01,7192.0
2025-04-01,7391.0
2025-05-01,7769.0
2025-06-01,7437.0
2025-07-01,7181.0
2025-08-01,7227.0
2025-10-01,7670.0
2025-11-01,7146.0
2025-12-01,6542.0
2026-01-01,6946.0
2026-02-01,6882.0
2026-03-01,6866.0
2026-04-01,7618.0
2026-05-01,7594.0
2026-06-01,7359.0
